Unnamed: 0,Unnamed: 1,Under-five mortality rate (per 1000 live births) (SDG 3.2.1),Under-five mortality rate (per 1000 live births) (SDG 3.2.1).1,Under-five mortality rate (per 1000 live births) (SDG 3.2.1).2,Number of deaths among children under-five,Number of deaths among children under-five.1,Number of deaths among children under-five.2
Australia, 1998,6.45 [6.33-6.57],7.13 [6.97-7.3],5.72 [5.58-5.87],1 614 [1 584-1 645],916 [896-938],698 [681-716]
Australia, 1997,6.59 [6.47-6.72],7.29 [7.12-7.46],5.86 [5.71-6.01],1 665 [1 633-1 697],945 [923-967],720 [702-739]
Australia, 1996,6.77 [6.64-6.91],7.52 [7.35-7.7],5.99 [5.84-6.15],1 726 [1 693-1 761],984 [961-1 007],742 [724-762]
Australia, 1995,7.01 [6.88-7.15],7.79 [7.61-7.97],6.19 [6.04-6.35],1 802 [1 768-1 837],1 027 [1 005-1 052],775 [755-795]
Australia, 1994,7.31 [7.17-7.46],8.13 [7.95-8.33],6.45 [6.29-6.62],1 893 [1 857-1 932],1 080 [1 056-1 107],813 [792-834]
Australia, 1993,7.7 [7.55-7.85],8.57 [8.38-8.77],6.78 [6.61-6.95],2 004 [1 966-2 044],1 145 [1 120-1 172],859 [838-881]
Australia, 1992,8.15 [8-8.31],9.12 [8.92-9.33],7.14 [6.96-7.32],2 108 [2 069-2 150],1 209 [1 184-1 238],899 [876-921]
Australia, 1991,8.66 [8.49-8.83],9.67 [9.45-9.9],7.59 [7.41-7.79],2 224 [2 182-2 268],1 275 [1 247-1 305],949 [926-973]
Australia, 1990,9.19 [9.02-9.37],10.27 [10.05-10.5],8.05 [7.86-8.25],2 327 [2 284-2 372],1 335 [1 306-1 365],992 [969-1 017]
Australia, 1989,9.71 [9.52-9.9],10.86 [10.61-11.1],8.51 [8.3-8.72],2 392 [2 345-2 440],1 371 [1 340-1 403],1 021 [996-1 047]
Australia, 1988,10.19 [9.99-10.38],11.4 [11.15-11.66],8.91 [8.69-9.13],2 478 [2 431-2 525],1 422 [1 391-1 454],1 056 [1 030-1 082]
Australia, 1987,10.6 [10.41-10.81],11.89 [11.63-12.15],9.26 [9.03-9.48],2 567 [2 519-2 617],1 476 [1 444-1 509],1 091 [1 065-1 118]
Australia, 1986,10.97 [10.76-11.19],12.29 [12.02-12.57],9.58 [9.34-9.82],2 663 [2 613-2 716],1 530 [1 497-1 566],1 133 [1 105-1 161]
Australia, 1985,11.29 [11.08-11.5],12.64 [12.37-12.92],9.88 [9.64-10.11],2 703 [2 653-2 754],1 551 [1 519-1 586],1 152 [1 125-1 180]
Australia, 1984,11.58 [11.36-11.81],12.97 [12.68-13.26],10.13 [9.88-10.37],2 747 [2 694-2 801],1 577 [1 543-1 614],1 170 [1 142-1 198]
Australia, 1983,11.86 [11.64-12.09],13.25 [12.96-13.55],10.41 [10.16-10.66],2 827 [2 774-2 881],1 620 [1 585-1 657],1 207 [1 178-1 236]
Australia, 1982,12.17 [11.94-12.41],13.6 [13.3-13.91],10.67 [10.42-10.93],2 856 [2 802-2 912],1 638 [1 603-1 676],1 218 [1 189-1 247]
Australia, 1981,12.55 [12.3-12.8],14.02 [13.7-14.34],11 [10.74-11.28],2 871 [2 814-2 928],1 647 [1 610-1 684],1 224 [1 195-1 255]
Australia, 1980,13.03 [12.78-13.29],14.56 [14.24-14.88],11.42 [11.15-11.7],2 920 [2 864-2 978],1 675 [1 639-1 713],1 245 [1 216-1 276]
Australia, 1979,13.63 [13.35-13.9],15.22 [14.88-15.57],11.95 [11.67-12.25],3 057 [2 995-3 117],1 753 [1 714-1 793],1 304 [1 273-1 336]
Australia, 1978,14.36 [14.08-14.64],16.06 [15.72-16.43],12.57 [12.27-12.87],3 255 [3 191-3 319],1 869 [1 829-1 912],1 386 [1 352-1 419]
Australia, 1977,15.23 [14.93-15.53],17.05 [16.68-17.44],13.32 [12.99-13.63],3 495 [3 427-3 564],2 009 [1 966-2 056],1 486 [1 450-1 521]
Australia, 1976,16.22 [15.91-16.56],18.17 [17.77-18.59],14.18 [13.84-14.52],3 796 [3 723-3 874],2 182 [2 136-2 234],1 614 [1 576-1 653]
Australia, 1975,17.31 [16.98-17.65],19.45 [19.04-19.88],15.06 [14.71-15.43],4 195 [4 116-4 279],2 420 [2 370-2 475],1 775 [1 734-1 818]
Australia, 1974,18.41 [18.05-18.78],20.71 [20.27-21.17],15.99 [15.61-16.38],4 634 [4 544-4 728],2 675 [2 619-2 736],1 959 [1 912-2 007]
Australia, 1973,19.43 [19.06-19.82],21.84 [21.38-22.32],16.89 [16.51-17.3],5 095 [4 997-5 198],2 936 [2 874-3 001],2 159 [2 110-2 210]
Australia, 1972,20.3 [19.91-20.7],22.81 [22.33-23.31],17.66 [17.26-18.08],5 485 [5 382-5 593],3 157 [3 091-3 227],2 328 [2 274-2 383]
Australia, 1971,20.98 [20.58-21.4],23.5 [23.01-24.03],18.33 [17.91-18.75],5 498 [5 391-5 607],3 155 [3 088-3 225],2 343 [2 289-2 397]
Australia, 1970,21.46 [21.06-21.87],24.1 [23.59-24.61],18.68 [18.26-19.11],5 319 [5 222-5 421],3 062 [2 998-3 128],2 257 [2 206-2 308]
Australia, 1969,21.74 [21.33-22.17],24.36 [23.83-24.89],18.99 [18.57-19.45],5 208 [5 108-5 311],2 993 [2 929-3 059],2 215 [2 165-2 268]
Australia, 1968,21.89 [21.47-22.31],24.45 [23.93-24.99],19.19 [18.76-19.63],5 049 [4 954-5 147],2 895 [2 834-2 959],2 154 [2 106-2 204]
Australia, 1967,21.97 [21.54-22.39],24.53 [23.99-25.06],19.28 [18.83-19.73],4 926 [4 830-5 020],2 824 [2 763-2 885],2 102 [2 053-2 151]
Australia, 1966,22.1 [21.66-22.54],24.65 [24.1-25.19],19.42 [18.96-19.88],4 906 [4 809-5 003],2 811 [2 749-2 873],2 095 [2 047-2 146]
Australia, 1965,22.35 [21.92-22.78],24.89 [24.35-25.42],19.68 [19.23-20.15],5 011 [4 912-5 107],2 866 [2 805-2 929],2 145 [2 096-2 195]
Australia, 1964,22.71 [22.27-23.17],25.26 [24.71-25.82],20.04 [19.59-20.52],5 206 [5 105-5 310],2 975 [2 912-3 042],2 231 [2 181-2 285]
Australia, 1963,23.18 [22.74-23.64],25.76 [25.22-26.32],20.47 [20.01-20.94],5 378 [5 276-5 484],3 070 [3 007-3 138],2 308 [2 257-2 361]
Australia, 1962,23.71 [23.27-24.18],26.37 [25.83-26.94],20.92 [20.46-21.42],5 524 [5 421-5 632],3 155 [3 091-3 225],2 369 [2 317-2 426]
Australia, 1961,24.28 [23.81-24.76],26.97 [26.41-27.56],21.46 [20.96-21.96],5 573 [5 466-5 683],3 178 [3 112-3 248],2 395 [2 340-2 453]
Australia, 1960,24.85 [24.38-25.33],27.56 [26.98-28.14],22.01 [21.51-22.51],5 543 [5 439-5 651],3 154 [3 089-3 222],2 389 [2 336-2 444]
Australia, 1959,25.42 [24.93-25.92],28.19 [27.6-28.81],22.52 [22.01-23.04],5 571 [5 463-5 680],3 168 [3 101-3 237],2 403 [2 349-2 459]
Australia, 1958,26.01 [25.52-26.51],28.8 [28.2-29.43],23.07 [22.55-23.58],5 612 [5 507-5 720],3 189 [3 123-3 259],2 423 [2 369-2 478]
Australia, 1957,26.61 [26.11-27.13],29.46 [28.84-30.08],23.63 [23.1-24.16],5 622 [5 518-5 732],3 196 [3 131-3 266],2 426 [2 373-2 482]
Australia, 1956,27.26 [26.74-27.8],30.14 [29.51-30.79],24.23 [23.67-24.8],5 616 [5 510-5 728],3 188 [3 122-3 258],2 428 [2 373-2 486]
Australia, 1955,27.96 [27.44-28.5],30.98 [30.32-31.63],24.8 [24.23-25.37],5 640 [5 534-5 747],3 203 [3 135-3 271],2 437 [2 381-2 493]
Australia, 1954,28.71 [28.13-29.29],31.85 [31.14-32.55],25.41 [24.81-26.02],,,
Australia, 1953,29.49 [28.9-30.09],32.67 [31.95-33.4],26.14 [25.53-26.76],,,
Australia, 1952,30.25 [29.66-30.87],33.55 [32.82-34.31],26.79 [26.17-27.43],,,
Australia, 1951,30.97 [30.28-31.66],34.28 [33.44-35.12],27.49 [26.79-28.22],,,
Australia, 1950,31.59 [30.57-32.63],34.95 [33.76-36.16],28.06 [27.08-29.08],,,
Australia, 1949,32.16 [30.43-33.9],,,,,
Brunei Darussalam, 2021,11.48 [9.6-13.74],12.48 [10.41-14.98],10.41 [8.68-12.54],72 [60-86],41 [34-49],31 [26-38]
Brunei Darussalam, 2020,11.5 [9.91-13.36],12.5 [10.73-14.55],10.44 [8.97-12.18],73 [63-85],41 [36-48],32 [27-37]
Brunei Darussalam, 2019,11.4 [10.13-12.9],12.39 [10.94-14.08],10.36 [9.15-11.76],74 [66-84],42 [37-48],32 [29-37]
Brunei Darussalam, 2018,11.23 [10.21-12.4],12.18 [11.02-13.53],10.22 [9.23-11.35],75 [68-83],42 [38-47],33 [29-36]
Brunei Darussalam, 2017,11.01 [10.18-11.95],11.94 [10.98-13.03],10.04 [9.21-10.98],75 [69-81],42 [39-46],33 [30-36]
Brunei Darussalam, 2016,10.81 [10.08-11.6],11.71 [10.83-12.64],9.85 [9.1-10.69],75 [70-80],42 [39-46],33 [30-36]
Brunei Darussalam, 2015,10.59 [9.9-11.32],11.47 [10.65-12.35],9.66 [8.94-10.44],74 [69-79],41 [39-45],33 [30-35]
Brunei Darussalam, 2014,10.38 [9.7-11.09],11.24 [10.43-12.09],9.46 [8.76-10.22],73 [68-78],41 [38-44],32 [30-35]
Brunei Darussalam, 2013,10.17 [9.51-10.89],11 [10.21-11.85],9.31 [8.62-10.06],71 [67-76],40 [37-43],31 [29-34]
Brunei Darussalam, 2012,9.99 [9.32-10.7],10.79 [10-11.63],9.15 [8.46-9.88],69 [65-74],38 [36-42],31 [28-33]
Brunei Darussalam, 2011,9.83 [9.16-10.53],10.61 [9.82-11.44],9.01 [8.32-9.74],67 [62-72],37 [35-40],30 [27-32]
Brunei Darussalam, 2010,9.69 [9.03-10.39],10.45 [9.68-11.29],8.89 [8.21-9.61],64 [60-69],36 [33-39],28 [26-31]
Brunei Darussalam, 2009,9.58 [8.94-10.28],10.33 [9.58-11.16],8.8 [8.12-9.52],62 [58-67],35 [32-37],27 [25-30]
Brunei Darussalam, 2008,9.51 [8.88-10.2],10.24 [9.51-11.05],8.73 [8.08-9.45],61 [56-65],34 [31-36],27 [25-29]
Brunei Darussalam, 2007,9.47 [8.84-10.16],10.19 [9.47-11],8.7 [8.06-9.4],60 [56-64],34 [31-36],26 [25-29]
Brunei Darussalam, 2006,9.46 [8.84-10.14],10.18 [9.45-10.97],8.7 [8.07-9.4],59 [55-64],33 [31-36],26 [24-29]
Brunei Darussalam, 2005,9.49 [8.87-10.15],10.2 [9.47-10.99],8.73 [8.1-9.43],60 [56-64],33 [31-36],27 [25-29]
Brunei Darussalam, 2004,9.55 [8.94-10.21],10.27 [9.54-11.05],8.8 [8.17-9.5],60 [56-64],33 [31-36],27 [25-29]
Brunei Darussalam, 2003,9.65 [9.05-10.33],10.38 [9.66-11.17],8.9 [8.27-9.6],61 [57-65],34 [31-36],27 [25-29]
Brunei Darussalam, 2002,9.82 [9.2-10.51],10.55 [9.82-11.37],9.05 [8.41-9.76],62 [58-66],34 [32-37],28 [26-30]
Brunei Darussalam, 2001,10.04 [9.41-10.73],10.79 [10.05-11.61],9.25 [8.61-9.97],64 [60-68],36 [33-38],28 [26-31]
Brunei Darussalam, 2000,10.33 [9.68-11.03],11.09 [10.33-11.93],9.51 [8.84-10.23],66 [62-70],37 [34-39],29 [27-31]
Brunei Darussalam, 1999,10.68 [10.01-11.39],11.48 [10.7-12.32],9.83 [9.14-10.56],69 [64-73],39 [36-41],30 [28-33]
Brunei Darussalam, 1998,11.07 [10.4-11.79],11.95 [11.15-12.8],10.16 [9.47-10.92],72 [68-77],40 [38-43],32 [30-34]
Brunei Darussalam, 1997,11.52 [10.83-12.26],12.43 [11.62-13.32],10.56 [9.86-11.33],77 [72-82],43 [40-46],34 [32-36]
Brunei Darussalam, 1996,11.99 [11.28-12.73],12.94 [12.1-13.84],10.99 [10.26-11.76],82 [77-87],46 [43-49],36 [34-39]
Brunei Darussalam, 1995,12.43 [11.71-13.18],13.43 [12.59-14.35],11.37 [10.62-12.16],87 [82-92],49 [46-52],38 [36-41]
Brunei Darussalam, 1994,12.8 [12.09-13.55],13.85 [12.98-14.76],11.71 [10.96-12.51],92 [87-97],51 [48-55],41 [38-43]
Brunei Darussalam, 1993,13.08 [12.36-13.84],14.15 [13.27-15.05],11.95 [11.2-12.78],96 [90-101],54 [50-57],42 [40-45]
Brunei Darussalam, 1992,13.24 [12.5-14.01],14.32 [13.44-15.25],12.1 [11.31-12.91],98 [92-104],55 [51-58],43 [40-46]
Brunei Darussalam, 1991,13.28 [12.53-14.07],14.37 [13.49-15.3],12.12 [11.34-12.96],98 [92-104],55 [51-58],43 [40-46]
Brunei Darussalam, 1990,13.28 [12.52-14.11],14.39 [13.5-15.34],12.11 [11.31-12.98],97 [91-103],54 [51-58],43 [40-46]
Brunei Darussalam, 1989,13.35 [12.57-14.15],14.46 [13.55-15.42],12.15 [11.35-13.01],95 [90-101],53 [50-57],42 [39-45]
Brunei Darussalam, 1988,13.48 [12.7-14.31],14.63 [13.72-15.61],12.28 [11.46-13.13],94 [89-100],53 [49-56],41 [39-44]
Brunei Darussalam, 1987,13.76 [12.96-14.6],14.95 [14-15.94],12.52 [11.69-13.39],94 [88-99],53 [49-56],41 [38-44]
Brunei Darussalam, 1986,14.19 [13.37-15.06],15.44 [14.47-16.47],12.88 [12.03-13.8],94 [89-100],53 [50-57],41 [39-44]
Brunei Darussalam, 1985,14.78 [13.91-15.71],16.1 [15.07-17.18],13.4 [12.5-14.36],96 [90-102],54 [50-57],42 [39-45]
Brunei Darussalam, 1984,15.53 [14.62-16.52],16.95 [15.85-18.1],14.05 [13.1-15.06],98 [92-104],55 [52-59],43 [40-46]
Brunei Darussalam, 1983,16.46 [15.45-17.54],17.97 [16.8-19.23],14.87 [13.85-15.96],101 [95-108],57 [53-61],44 [41-47]
Brunei Darussalam, 1982,17.61 [16.51-18.79],19.25 [17.95-20.63],15.88 [14.77-17.06],106 [99-113],60 [56-64],46 [43-50]
Brunei Darussalam, 1981,18.99 [17.8-20.28],20.77 [19.39-22.27],17.12 [15.93-18.41],112 [105-120],63 [59-68],49 [45-53]
Brunei Darussalam, 1980,20.64 [19.35-22.03],22.61 [21.09-24.22],18.58 [17.28-19.96],120 [112-128],68 [63-73],52 [48-56]
Brunei Darussalam, 1979,22.59 [21.23-24.03],24.72 [23.12-26.4],20.34 [18.97-21.78],129 [121-137],73 [68-78],56 [52-60]
Brunei Darussalam, 1978,24.83 [23.42-26.32],27.15 [25.49-28.88],22.4 [20.96-23.9],139 [132-148],78 [74-84],61 [57-65]
Brunei Darussalam, 1977,27.42 [25.99-28.94],30 [28.3-31.79],24.72 [23.26-26.25],151 [144-160],85 [81-91],66 [62-70]
Brunei Darussalam, 1976,30.4 [28.95-31.92],33.2 [31.44-35.08],27.45 [25.95-29.03],165 [157-173],93 [88-98],72 [68-76]
Brunei Darussalam, 1975,33.78 [32.27-35.38],36.82 [35-38.83],30.55 [28.96-32.22],180 [172-188],101 [96-107],79 [75-83]
Brunei Darussalam, 1974,37.57 [35.97-39.25],40.89 [38.92-42.99],34.06 [32.36-35.81],195 [187-204],109 [105-116],86 [81-90]
Brunei Darussalam, 1973,41.69 [39.94-43.5],45.34 [43.21-47.56],37.81 [36-39.75],211 [202-220],118 [113-124],93 [88-97]
Brunei Darussalam, 1972,45.93 [44.09-47.86],49.92 [47.67-52.35],41.73 [39.74-43.81],225 [216-235],126 [121-133],99 [94-104]
Brunei Darussalam, 1971,50.12 [48.18-52.11],54.39 [52.02-56.9],45.62 [43.5-47.79],237 [228-246],133 [127-139],104 [99-109]
Brunei Darussalam, 1970,54.04 [51.97-56.18],58.58 [56.03-61.23],49.26 [46.99-51.58],245 [236-255],137 [131-143],108 [103-113]
Brunei Darussalam, 1969,57.53 [55.39-59.75],62.33 [59.7-65.14],52.47 [50.07-54.95],251 [242-261],140 [135-147],111 [106-116]
Brunei Darussalam, 1968,60.73 [58.42-63.17],65.77 [62.93-68.77],55.45 [52.9-58.1],257 [247-267],144 [137-150],113 [108-119]
Brunei Darussalam, 1967,64.04 [61.54-66.66],69.3 [66.26-72.41],58.54 [55.76-61.38],264 [254-275],147 [141-154],117 [111-122]
Brunei Darussalam, 1966,67.95 [65.1-70.75],73.48 [70.12-76.87],62.09 [59.05-65.21],274 [263-285],153 [146-160],121 [115-127]
Brunei Darussalam, 1965,72.88 [69.63-76.15],78.74 [74.86-82.55],66.72 [63.28-70.29],288 [276-301],160 [153-169],128 [121-135]
Brunei Darussalam, 1964,79.52 [75.7-83.37],85.77 [81.33-90.33],72.84 [68.94-76.94],309 [294-324],172 [163-181],137 [130-145]
Brunei Darussalam, 1963,88.01 [83.53-92.59],94.89 [89.8-100.24],80.72 [76.23-85.47],335 [318-353],186 [177-197],149 [141-158]
Brunei Darussalam, 1962,98.33 [93.29-103.48],105.95 [100.17-112.01],90.26 [85.2-95.64],366 [347-385],203 [192-215],163 [153-172]
Brunei Darussalam, 1961,110.13 [104.74-115.64],118.58 [112.32-124.98],101.22 [95.72-106.98],397 [378-417],220 [209-233],177 [167-187]
Brunei Darussalam, 1960,122.53 [117.07-128.15],131.84 [125.48-138.51],112.7 [107.02-118.61],425 [406-444],236 [224-248],189 [179-199]
Brunei Darussalam, 1959,134.31 [129.06-139.75],144.48 [138.19-151.02],123.61 [118.05-129.46],445 [427-463],247 [236-258],198 [189-207]
Brunei Darussalam, 1958,144.48 [139.6-149.58],155.52 [149.48-161.82],132.92 [127.4-138.62],456 [441-473],253 [244-264],203 [195-212]
Brunei Darussalam, 1957,152.33 [147.58-157.36],164.02 [158.05-170.14],140.06 [134.65-145.76],458 [444-474],254 [246-265],204 [196-212]
Brunei Darussalam, 1956,157.83 [153.1-162.8],170.02 [164.05-176.35],145 [139.48-150.7],453 [439-467],252 [243-261],201 [193-209]
Brunei Darussalam, 1955,162.4 [157.48-167.56],174.9 [168.58-181.35],149.29 [143.66-155.36],443 [430-458],246 [238-256],197 [189-205]
Brunei Darussalam, 1954,167.88 [162.74-173.15],180.66 [174.1-187.33],154.47 [148.57-160.76],,,
Brunei Darussalam, 1953,175.17 [169.77-180.72],188.1 [181.19-195.21],161.56 [155.29-168.07],,,
Brunei Darussalam, 1952,184.77 [178.9-190.96],197.88 [190.54-205.65],171.07 [164.23-178.21],,,
Brunei Darussalam, 1951,197.1 [190.13-204.59],210.39 [201.74-219.4],183.2 [175.17-191.7],,,
Brunei Darussalam, 1950,211.68 [201.75-222.18],225.3 [213.72-237.65],197.47 [186.9-208.76],,,
Brunei Darussalam, 1949,227.84 [213.14-243.91],,,,,
Brunei Darussalam, 1948,245.2 [223.36-269.85],,,,,
Brunei Darussalam, 1947,263.76 [232.87-300.52],,,,,
Brunei Darussalam, 1946,283.47 [240.87-335.36],,,,,
Brunei Darussalam, 1945,304.72 [248.55-375.91],,,,,
Cambodia, 2021,24.76 [12.19-50.61],27.6 [13.54-56.37],21.84 [10.77-44.48],8 013 [3 950-16 353],4 572 [2 249-9 326],3 441 [1 700-7 011]
Cambodia, 2020,25.79 [13.08-50.5],28.71 [14.56-56.29],22.73 [11.53-44.46],8 451 [4 291-16 513],4 820 [2 448-9 430],3 631 [1 845-7 089]
Cambodia, 2019,26.81 [14.15-50.16],29.81 [15.71-55.88],23.63 [12.46-44.37],8 893 [4 700-16 597],5 069 [2 674-9 483],3 824 [2 018-7 169]
Cambodia, 2018,27.83 [15.45-49.77],30.92 [17.13-55.07],24.54 [13.61-43.85],9 349 [5 196-16 698],5 326 [2 951-9 459],4 023 [2 234-7 176]
Cambodia, 2017,28.94 [16.98-49.28],32.23 [18.87-54.44],25.54 [14.87-43.53],9 826 [5 773-16 700],5 601 [3 288-9 458],4 225 [2 464-7 198]
Cambodia, 2016,30.26 [18.71-48.66],33.7 [20.9-54.26],26.69 [16.48-42.99],10 356 [6 412-16 638],5 903 [3 668-9 497],4 453 [2 755-7 174]
Cambodia, 2015,31.75 [20.86-48.26],35.29 [23.23-53.69],28.03 [18.37-42.64],10 923 [7 181-16 591],6 218 [4 099-9 449],4 705 [3 085-7 152]
Cambodia, 2014,33.38 [23.3-47.97],37.05 [25.89-53.4],29.5 [20.56-42.51],11 490 [8 020-16 500],6 535 [4 567-9 406],4 955 [3 454-7 132]
Cambodia, 2013,35.34 [26.2-47.82],39.3 [29.01-53.25],31.21 [23.1-42.4],12 125 [8 994-16 400],6 902 [5 101-9 348],5 223 [3 867-7 092]
Cambodia, 2012,37.75 [29.6-48.41],41.87 [32.78-53.83],33.44 [26.14-42.88],12 866 [10 090-16 492],7 305 [5 724-9 389],5 561 [4 350-7 128]
Cambodia, 2011,40.63 [33.3-49.77],45.05 [36.79-55.38],36.01 [29.48-44.23],13 758 [11 280-16 846],7 810 [6 382-9 596],5 948 [4 871-7 303]
Cambodia, 2010,43.95 [37.03-52.22],48.61 [40.79-57.96],39.03 [32.8-46.57],14 869 [12 537-17 656],8 423 [7 074-10 035],6 446 [5 420-7 684]
Cambodia, 2009,47.55 [40.7-55.57],52.45 [44.77-61.36],42.32 [36.2-49.67],16 085 [13 782-18 785],9 092 [7 758-10 622],6 993 [5 977-8 196]
Cambodia, 2008,51.35 [44.57-59.32],56.5 [48.95-65.36],45.86 [39.65-53.23],17 342 [15 064-20 022],9 778 [8 473-11 293],7 564 [6 539-8 766]
Cambodia, 2007,55.33 [48.73-63.15],60.79 [53.45-69.49],49.64 [43.44-56.78],18 523 [16 318-21 125],10 416 [9 166-11 905],8 107 [7 101-9 273]
Cambodia, 2006,59.77 [53.1-67.26],65.56 [58.13-73.99],53.68 [47.44-60.48],19 790 [17 596-22 256],11 113 [9 861-12 530],8 677 [7 670-9 770]
Cambodia, 2005,64.78 [57.77-72.37],70.86 [62.96-79.36],58.49 [51.91-65.5],21 333 [19 031-23 817],11 936 [10 622-13 370],9 397 [8 347-10 525]
Cambodia, 2004,70.83 [63.49-78.7],77.16 [68.99-85.81],64.17 [57.42-71.56],23 237 [20 835-25 798],12 954 [11 584-14 398],10 283 [9 203-11 457]
Cambodia, 2003,78.23 [70.69-86.2],84.92 [76.54-93.72],71.11 [64.08-78.71],25 690 [23 218-28 283],14 273 [12 860-15 736],11 417 [10 283-12 623]
Cambodia, 2002,86.92 [79.31-95.1],93.98 [85.37-102.96],79.54 [72.32-87.41],28 668 [26 164-31 380],15 849 [14 399-17 365],12 819 [11 660-14 089]
Cambodia, 2001,96.86 [88.88-105.28],104.02 [95.23-113.41],89.21 [81.66-97.32],32 235 [29 574-35 041],17 708 [16 194-19 286],14 527 [13 278-15 837]
Cambodia, 2000,106.3 [97.38-115.53],113.74 [104.04-123.98],98.41 [90.06-107.38],36 089 [33 048-39 258],19 736 [18 029-21 518],16 353 [14 948-17 849]
Cambodia, 1999,113.34 [104.21-123.14],120.97 [110.96-131.7],105.36 [96.49-114.66],39 386 [36 160-42 856],21 461 [19 662-23 395],17 925 [16 406-19 543]
Cambodia, 1998,117.65 [108.47-127.45],125.28 [115.27-136.07],109.51 [100.77-118.93],42 275 [38 913-45 879],22 987 [21 106-24 992],19 288 [17 719-20 965]
Cambodia, 1997,119.55 [110.53-129.34],127.21 [117.35-137.89],111.6 [102.86-121.06],44 779 [41 353-48 515],24 310 [22 407-26 394],20 469 [18 853-22 243]
Cambodia, 1996,120.05 [111.18-129.52],127.61 [118.06-137.93],112.1 [103.52-121.5],46 577 [43 112-50 274],25 281 [23 373-27 342],21 296 [19 646-23 095]
Cambodia, 1995,119.54 [110.57-128.89],127.11 [117.32-137.44],111.56 [102.85-120.74],47 813 [44 218-51 555],25 979 [23 973-28 073],21 834 [20 122-23 632]
